,RESELLER,GENDER,BRAND,Price_Original,LM_Ratings,LM_Positive
38,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
39,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
40,Vision Express,Man,D BY D,99.0,0,0.0
41,Vision Express,Man,D BY D,99.0,0,0.0
42,Vision Express,Man,D BY D,79.0,0,0.0
43,Vision Express,Man,POLAROID,279.0,0,0.0
44,Vision Express,Man,RAY BAN,499.0,0,0.0
45,Vision Express,Man,D BY D,79.0,0,0.0
46,Vision Express,Man,SOLARIS,249.0,0,0.0
47,Vision Express,Man,D BY D,99.0,0,0.0
48,Vision Express,Man,PRIVE REVAUX,199.0,0,0.0
49,Vision Express,Man,TOMMY HILFIGER,449.0,0,0.0
50,Vision Express,Man,PRIVE REVAUX,199.0,0,0.0
51,Vision Express,Man,RAY BAN,499.0,0,0.0
52,Vision Express,Man,PRIVE REVAUX,199.0,0,0.0
53,Vision Express,Man,SEEN,79.0,0,0.0
54,Vision Express,Man,RAY BAN,499.0,0,0.0
55,Vision Express,Man,D BY D,79.0,0,0.0
56,Vision Express,Man,PRIVE REVAUX,199.0,0,0.0
57,Vision Express,Man,PRIVE REVAUX,199.0,0,0.0
58,Vision Express,Man,SEEN,79.0,0,0.0
59,Vision Express,Man,RAY BAN,499.0,0,0.0
60,Vision Express,Man,RAY BAN,549.0,0,0.0
61,Vision Express,Man,PRIVE REVAUX,199.0,0,0.0
62,Vision Express,Man,TOMMY HILFIGER,449.0,0,0.0
63,Vision Express,Man,POLAROID,279.0,0,0.0
64,Vision Express,Man,EMPORIO ARMANI,799.0,0,0.0
65,Vision Express,Man,SEEN,59.0,0,0.0
66,Vision Express,Man,EMPORIO ARMANI,799.0,0,0.0
67,Vision Express,Man,UNOFFICIAL,149.0,0,0.0
68,Vision Express,Man,POLAROID,279.0,0,0.0
69,Vision Express,Man,D BY D,79.0,0,0.0
70,Vision Express,Man,D BY D,79.0,0,0.0
71,Vision Express,Man,PRIVE REVAUX,199.0,0,0.0
72,Vision Express,Man,EMPORIO ARMANI,699.0,0,0.0
73,Vision Express,Man,POLAROID,279.0,0,0.0
74,Vision Express,Man,EMPORIO ARMANI,699.0,0,0.0
75,Vision Express,Man,SEEN,99.0,0,0.0
76,Vision Express,Man,PRIVE REVAUX,199.0,0,0.0
77,Vision Express,Man,HUGO,499.0,0,0.0
78,Vision Express,Man,SEEN,59.0,0,0.0
79,Vision Express,Man,PUMA,299.0,0,0.0
80,Vision Express,Man,POLAROID,279.0,0,0.0
81,Vision Express,Man,RAY BAN,499.0,0,0.0
82,Vision Express,Man,PUMA,399.0,0,0.0
83,Vision Express,Man,EMPORIO ARMANI,799.0,0,0.0
84,Vision Express,Man,POLAROID,279.0,0,0.0
