,RESELLER,Discount
544,Answear,YES
545,Answear,YES
546,Answear,YES
547,Answear,YES
548,Answear,YES
549,Answear,YES
550,Answear,YES
551,Answear,YES
552,Answear,YES
553,Answear,YES
554,Answear,YES
555,Answear,YES
556,Answear,YES
557,Answear,YES
558,Answear,YES
559,Answear,YES
560,Answear,YES
561,Answear,YES
562,Answear,YES
563,Answear,YES
564,Answear,YES
565,Answear,YES
566,Answear,YES
567,Answear,YES
568,Answear,YES
569,Answear,YES
570,Answear,YES
571,Answear,YES
572,Answear,YES
573,Answear,YES
574,Answear,YES
575,Answear,YES
576,Answear,YES
577,Answear,YES
578,Answear,YES
579,Answear,YES
580,Answear,YES
581,Answear,YES
582,Answear,YES
583,Answear,YES
584,Answear,YES
585,Answear,YES
586,Answear,YES
587,Answear,YES
588,Answear,YES
589,Answear,YES
590,Answear,YES
591,Answear,YES
592,Answear,NO
593,Answear,YES
594,Answear,YES
595,Answear,YES
596,Answear,YES
597,Answear,YES
598,Answear,YES
599,Answear,YES
600,Answear,YES
601,Answear,YES
602,Answear,YES
603,Answear,YES
604,Answear,YES
605,Answear,YES
606,Answear,YES
607,Answear,YES
608,Answear,YES
609,Answear,YES
610,Answear,YES
611,Answear,YES
612,Answear,YES
613,Answear,YES
614,Answear,YES
615,Answear,YES
616,Answear,YES
617,Answear,YES
618,Answear,YES
619,Answear,YES
620,Answear,YES
621,Answear,YES
622,Answear,YES
623,Answear,YES
624,Answear,YES
625,Answear,YES
626,Answear,YES
627,Answear,YES
628,Answear,YES
629,Answear,YES
630,Answear,YES
631,Answear,YES
632,Answear,YES
633,Answear,YES
634,Answear,YES
635,Answear,YES
636,Answear,YES
637,Answear,YES
638,Answear,YES
639,Answear,YES
640,Answear,YES
641,Answear,YES
642,Answear,YES
643,Answear,YES
644,Answear,YES
645,Answear,YES
646,Answear,YES
647,Answear,YES
648,Answear,YES
649,Answear,YES
650,Answear,YES
651,Answear,YES
652,Answear,YES
653,Answear,YES
654,Answear,YES
655,Answear,YES
656,Answear,YES
657,Answear,YES
658,Answear,YES
659,Answear,YES
660,Answear,YES
661,Answear,YES
662,Answear,YES
663,Answear,YES
664,Answear,YES
665,Answear,YES
666,Answear,YES
667,Answear,YES
668,Answear,YES
669,Answear,YES
670,Answear,YES
671,Answear,YES
672,Answear,YES
673,Answear,YES
674,Answear,YES
675,Answear,YES
676,Answear,YES
677,Answear,YES
678,Answear,YES
679,Answear,YES
680,Answear,YES
681,Answear,YES
682,Answear,YES
683,Answear,YES
684,Answear,YES
685,Answear,YES
686,Answear,YES
687,Answear,NO
688,Answear,YES
689,Answear,YES
690,Answear,YES
691,Answear,YES
692,Answear,YES
693,Answear,YES
694,Answear,NO
695,Answear,YES
696,Answear,YES
697,Answear,NO
698,Answear,NO
699,Answear,YES
700,Answear,YES
701,Answear,YES
702,Answear,YES
703,Answear,YES
704,Answear,YES
705,Answear,YES
706,Answear,YES
707,Answear,YES
708,Answear,YES
709,Answear,YES
710,Answear,YES
711,Answear,YES
712,Answear,YES
713,Answear,YES
714,Answear,YES
715,Answear,YES
716,Answear,YES
717,Answear,YES
718,Answear,YES
719,Answear,YES
720,Answear,YES
721,Answear,YES
722,Answear,YES
723,Answear,YES
724,Answear,YES
725,Answear,YES
726,Answear,YES
727,Answear,YES
728,Answear,YES
729,Answear,YES
730,Answear,YES
731,Answear,YES
732,Answear,YES
733,Answear,YES
734,Answear,YES
735,Answear,YES
736,Answear,YES
737,Answear,YES
738,Answear,YES
739,Answear,YES
740,Answear,YES
741,Answear,YES
742,Answear,YES
743,Answear,YES
744,Answear,YES
745,Answear,YES
746,Answear,YES
747,Answear,YES
748,Answear,YES
749,Answear,YES
750,Answear,YES
751,Answear,YES
752,Answear,YES
753,Answear,YES
754,Answear,YES
755,Answear,YES
756,Answear,YES
757,Answear,YES
758,Answear,YES
759,Answear,YES
760,Answear,YES
761,Answear,YES
762,Answear,YES
763,Answear,YES
764,Answear,YES
765,Answear,YES
766,Zegarki Centrum,NO
767,Zegarki Centrum,NO
768,Zegarki Centrum,NO
769,Zegarki Centrum,NO
770,Zegarki Centrum,NO
771,Zegarki Centrum,NO
772,Zegarki Centrum,NO
773,Zegarki Centrum,NO
774,Zegarki Centrum,NO
775,Zegarki Centrum,NO
776,Zegarki Centrum,NO
777,Zegarki Centrum,NO
778,Zegarki Centrum,NO
779,Zegarki Centrum,NO
780,Zegarki Centrum,NO
781,Zegarki Centrum,NO
782,Zegarki Centrum,NO
783,Zegarki Centrum,NO
784,Zegarki Centrum,NO
785,Zegarki Centrum,NO
786,Zegarki Centrum,NO
787,Zegarki Centrum,NO
788,Zegarki Centrum,NO
789,Zegarki Centrum,NO
790,Zegarki Centrum,NO
791,Zegarki Centrum,NO
792,Zegarki Centrum,NO
793,Zegarki Centrum,NO
794,Zegarki Centrum,NO
795,Zegarki Centrum,NO
796,Zegarki Centrum,NO
797,Zegarki Centrum,NO
798,Zegarki Centrum,NO
799,Zegarki Centrum,NO
800,Zegarki Centrum,NO
801,Zegarki Centrum,NO
802,Zegarki Centrum,NO
803,Zegarki Centrum,NO
804,Zegarki Centrum,NO
805,Zegarki Centrum,NO
806,Zegarki Centrum,NO
807,Zegarki Centrum,NO
808,Zegarki Centrum,NO
809,Zegarki Centrum,NO
810,Zegarki Centrum,NO
811,Zegarki Centrum,YES
812,Zegarki Centrum,NO
813,Zegarki Centrum,NO
814,Zegarki Centrum,NO
815,Zegarki Centrum,NO
816,Zegarki Centrum,NO
817,Zegarki Centrum,NO
818,Zegarki Centrum,YES
819,Zegarki Centrum,NO
820,Zegarki Centrum,NO
821,Zegarki Centrum,NO
822,Zegarki Centrum,NO
823,Zegarki Centrum,NO
824,Zegarki Centrum,NO
825,Zegarki Centrum,YES
826,Zegarki Centrum,NO
827,Zegarki Centrum,NO
828,Zegarki Centrum,NO
829,Zegarki Centrum,NO
830,Zegarki Centrum,NO
831,Zegarki Centrum,NO
832,Zegarki Centrum,NO
833,Zegarki Centrum,YES
834,Zegarki Centrum,YES
835,Zegarki Centrum,NO
836,Zegarki Centrum,YES
837,Zegarki Centrum,NO
838,Zegarki Centrum,NO
839,Zegarki Centrum,NO
840,Zegarki Centrum,NO
841,Zegarki Centrum,NO
842,Zegarki Centrum,NO
843,Zegarki Centrum,NO
844,Zegarki Centrum,NO
845,Zegarki Centrum,NO
846,Zegarki Centrum,NO
847,Zegarki Centrum,NO
848,Zegarki Centrum,NO
849,Zegarki Centrum,NO
850,Zegarki Centrum,NO
851,Zegarki Centrum,NO
852,Zegarki Centrum,NO
853,Zegarki Centrum,NO
854,Zegarki Centrum,NO
855,Zegarki Centrum,NO
856,Zegarki Centrum,NO
857,Zegarki Centrum,NO
858,Zegarki Centrum,NO
859,Zegarki Centrum,NO
860,Zegarki Centrum,YES
861,Zegarki Centrum,NO
862,Zegarki Centrum,NO
863,Zegarki Centrum,NO
864,Zegarki Centrum,NO
865,Zegarki Centrum,YES
866,Zegarki Centrum,NO
867,Zegarki Centrum,NO
868,Zegarki Centrum,NO
869,Zegarki Centrum,NO
870,Zegarki Centrum,NO
871,Zegarki Centrum,NO
872,Zegarki Centrum,NO
873,Zegarki Centrum,NO
874,Zegarki Centrum,NO
875,Zegarki Centrum,NO
876,Zegarki Centrum,NO
877,Zegarki Centrum,NO
878,Zegarki Centrum,NO
879,Zegarki Centrum,NO
880,Zegarki Centrum,NO
881,Zegarki Centrum,NO
882,Zegarki Centrum,NO
883,Zegarki Centrum,NO
884,Zegarki Centrum,NO
885,Zegarki Centrum,NO
886,Zegarki Centrum,NO
887,Zegarki Centrum,NO
888,Zegarki Centrum,NO
889,Zegarki Centrum,NO
890,Zegarki Centrum,NO
891,Zegarki Centrum,NO
892,Zegarki Centrum,NO
893,Zegarki Centrum,NO
894,Zegarki Centrum,NO
895,Zegarki Centrum,NO
896,Zegarki Centrum,NO
897,Zegarki Centrum,NO
898,Zegarki Centrum,NO
899,Zegarki Centrum,NO
900,Zegarki Centrum,NO
901,Zegarki Centrum,NO
902,Zegarki Centrum,NO
903,Zegarki Centrum,NO
904,Zegarki Centrum,NO
905,Zegarki Centrum,NO
906,Zegarki Centrum,NO
907,Zegarki Centrum,NO
908,Zegarki Centrum,NO
909,Zegarki Centrum,YES
910,Zegarki Centrum,NO
911,Zegarki Centrum,NO
912,Zegarki Centrum,NO
913,Zegarki Centrum,NO
914,Zegarki Centrum,NO
915,Zegarki Centrum,NO
916,Zegarki Centrum,NO
917,Zegarki Centrum,NO
918,Zegarki Centrum,NO
919,Zegarki Centrum,NO
920,Zegarki Centrum,NO
921,Zegarki Centrum,NO
922,Zegarki Centrum,NO
923,Zegarki Centrum,NO
924,Zegarki Centrum,NO
925,Zegarki Centrum,YES
926,Zegarki Centrum,NO
927,Zegarki Centrum,NO
928,Zegarki Centrum,NO
929,Zegarki Centrum,NO
930,Zegarki Centrum,NO
931,Zegarki Centrum,NO
932,Zegarki Centrum,NO
933,Zegarki Centrum,NO
934,Zegarki Centrum,NO
935,Zegarki Centrum,NO
936,Zegarki Centrum,NO
937,Zegarki Centrum,NO
938,Zegarki Centrum,NO
939,Zegarki Centrum,NO
940,Zegarki Centrum,NO
941,Zegarki Centrum,NO
942,Zegarki Centrum,NO
943,Zegarki Centrum,NO
944,Zegarki Centrum,NO
945,Zegarki Centrum,NO
946,Zegarki Centrum,NO
947,Zegarki Centrum,NO
948,Zegarki Centrum,NO
949,Zegarki Centrum,NO
950,Zegarki Centrum,NO
951,Zegarki Centrum,NO
952,Zegarki Centrum,NO
953,Zegarki Centrum,NO
954,Zegarki Centrum,NO
955,Zegarki Centrum,NO
956,Zegarki Centrum,NO
957,Zegarki Centrum,NO
958,Zegarki Centrum,NO
959,Zegarki Centrum,NO
960,Zegarki Centrum,NO
961,Zegarki Centrum,NO
962,Zegarki Centrum,NO
963,Zegarki Centrum,YES
964,Zegarki Centrum,NO
965,Zegarki Centrum,NO
966,Zegarki Centrum,YES
967,Zegarki Centrum,NO
968,Zegarki Centrum,NO
969,Zegarki Centrum,NO
970,Zegarki Centrum,NO
971,Zegarki Centrum,NO
972,Zegarki Centrum,NO
973,Zegarki Centrum,NO
974,Zegarki Centrum,NO
975,Zegarki Centrum,NO
976,Zegarki Centrum,NO
977,Zegarki Centrum,NO
978,Zegarki Centrum,NO
979,Zegarki Centrum,NO
980,Zegarki Centrum,NO
981,Zegarki Centrum,NO
982,Zegarki Centrum,NO
983,Zegarki Centrum,NO
984,Zegarki Centrum,NO
985,Zegarki Centrum,NO
