,RESELLER,Discount
685,OWS,NO
686,OWS,NO
687,OWS,NO
688,OWS,NO
689,OWS,NO
690,OWS,YES
691,OWS,YES
692,OWS,NO
693,OWS,YES
694,OWS,YES
695,OWS,YES
696,OWS,YES
697,OWS,YES
698,OWS,YES
699,OWS,YES
700,OWS,YES
701,OWS,YES
702,OWS,YES
703,OWS,YES
704,OWS,YES
705,OWS,YES
706,OWS,YES
707,OWS,YES
708,OWS,YES
709,OWS,YES
710,OWS,YES
711,OWS,YES
712,OWS,YES
713,OWS,YES
714,OWS,YES
715,OWS,YES
716,OWS,YES
717,OWS,YES
718,OWS,YES
719,OWS,YES
720,OWS,YES
721,OWS,YES
722,OWS,YES
723,OWS,YES
724,OWS,YES
725,OWS,YES
726,OWS,YES
727,OWS,YES
728,OWS,YES
729,OWS,YES
730,OWS,YES
731,OWS,YES
732,OWS,YES
733,OWS,YES
734,OWS,YES
735,OWS,YES
736,OWS,YES
737,OWS,YES
738,OWS,YES
739,OWS,YES
740,OWS,YES
741,OWS,NO
742,OWS,YES
743,OWS,YES
744,OWS,YES
745,OWS,YES
746,OWS,YES
747,OWS,YES
748,OWS,YES
749,OWS,YES
750,OWS,YES
751,OWS,YES
752,OWS,YES
753,OWS,YES
754,OWS,YES
755,OWS,YES
756,OWS,YES
757,OWS,YES
758,OWS,YES
759,OWS,YES
760,OWS,YES
761,OWS,YES
762,OWS,YES
763,OWS,YES
764,OWS,YES
765,OWS,YES
766,OWS,YES
767,OWS,YES
768,OWS,YES
769,OWS,YES
770,OWS,YES
771,OWS,YES
772,OWS,YES
773,OWS,YES
774,OWS,YES
775,OWS,YES
776,OWS,YES
777,OWS,YES
778,OWS,YES
779,OWS,YES
780,OWS,YES
781,OWS,YES
782,OWS,YES
783,OWS,YES
784,OWS,YES
785,OWS,YES
786,OWS,YES
787,OWS,YES
788,OWS,YES
789,OWS,YES
790,OWS,YES
791,OWS,YES
792,OWS,YES
793,OWS,YES
794,OWS,YES
795,OWS,YES
796,OWS,YES
797,OWS,YES
798,OWS,YES
799,OWS,YES
800,OWS,YES
801,OWS,YES
802,OWS,YES
803,OWS,YES
804,OWS,YES
805,OWS,YES
806,OWS,YES
807,OWS,YES
808,OWS,YES
809,OWS,YES
810,OWS,YES
811,OWS,YES
812,OWS,YES
813,OWS,YES
814,OWS,YES
815,OWS,YES
816,OWS,YES
817,OWS,YES
818,OWS,YES
819,OWS,YES
820,OWS,YES
821,OWS,YES
822,OWS,YES
823,OWS,YES
824,OWS,YES
825,OWS,YES
826,OWS,YES
827,OWS,YES
828,OWS,YES
829,OWS,YES
830,OWS,YES
831,OWS,YES
832,OWS,YES
833,OWS,YES
834,OWS,YES
835,OWS,YES
836,OWS,YES
837,OWS,YES
838,OWS,YES
839,OWS,YES
840,OWS,YES
841,OWS,YES
842,OWS,YES
843,OWS,YES
844,OWS,YES
845,OWS,YES
846,OWS,YES
847,OWS,YES
848,OWS,YES
849,OWS,YES
850,OWS,YES
851,OWS,YES
852,OWS,YES
853,OWS,YES
854,OWS,YES
855,OWS,YES
856,OWS,YES
857,OWS,YES
858,OWS,YES
859,OWS,YES
860,OWS,YES
861,OWS,YES
862,OWS,YES
863,OWS,YES
864,OWS,YES
865,OWS,YES
866,OWS,YES
867,OWS,YES
868,OWS,YES
869,OWS,YES
870,OWS,YES
871,OWS,YES
872,OWS,YES
873,OWS,YES
874,OWS,YES
875,OWS,YES
876,OWS,YES
877,OWS,YES
878,OWS,YES
879,OWS,YES
880,OWS,YES
881,OWS,YES
882,OWS,YES
883,OWS,YES
884,OWS,YES
885,OWS,YES
886,OWS,YES
887,OWS,YES
888,OWS,YES
889,OWS,YES
890,OWS,YES
891,OWS,YES
892,OWS,YES
893,OWS,YES
894,OWS,YES
895,Eyerim,NO
896,Eyerim,NO
897,Eyerim,NO
898,Eyerim,NO
899,Eyerim,NO
900,Eyerim,NO
901,Eyerim,NO
902,Eyerim,NO
903,Eyerim,NO
904,Eyerim,NO
905,Eyerim,NO
906,Eyerim,NO
907,Eyerim,NO
908,Eyerim,NO
909,Eyerim,NO
910,Eyerim,NO
911,Eyerim,NO
912,Eyerim,NO
913,Eyerim,NO
914,Eyerim,NO
915,Eyerim,NO
916,Eyerim,YES
917,Eyerim,NO
918,Eyerim,NO
919,Eyerim,NO
920,Eyerim,NO
921,Eyerim,NO
922,Eyerim,NO
923,Eyerim,NO
924,Eyerim,NO
925,Eyerim,NO
926,Eyerim,NO
927,Eyerim,NO
928,Eyerim,NO
929,Eyerim,NO
930,Eyerim,NO
931,Eyerim,NO
932,Eyerim,NO
933,Eyerim,NO
934,Eyerim,NO
935,Eyerim,NO
936,Eyerim,YES
937,Eyerim,YES
938,Eyerim,YES
939,Eyerim,NO
940,Eyerim,NO
941,Eyerim,NO
942,Eyerim,NO
943,Eyerim,NO
944,Eyerim,NO
945,Eyerim,NO
946,Eyerim,NO
947,Eyerim,NO
948,Eyerim,NO
949,Eyerim,NO
950,Eyerim,NO
951,Eyerim,NO
952,Eyerim,NO
953,Eyerim,NO
954,Eyerim,NO
955,Eyerim,YES
956,Eyerim,YES
957,Eyerim,NO
958,Eyerim,NO
959,Eyerim,NO
960,Eyerim,NO
961,Eyerim,NO
962,Eyerim,NO
963,Eyerim,NO
964,Eyerim,NO
965,Eyerim,NO
966,Eyerim,NO
967,Eyerim,NO
968,Eyerim,NO
969,Eyerim,NO
970,Eyerim,NO
971,Eyerim,NO
972,Eyerim,NO
973,Eyerim,NO
974,Eyerim,NO
975,Eyerim,NO
976,Eyerim,NO
977,Eyerim,NO
978,Eyerim,NO
979,Eyerim,NO
980,Eyerim,YES
981,Eyerim,NO
982,Eyerim,NO
983,Eyerim,NO
